Location,sa3_code,Building Approvals - Value of total building ($M) 2016,Building Approvals - Value of private sector houses ($m) 2016,Estimated Resident Population - Persons - Total (2015),Population density (ERP at 30 June) (persons/km2) 2015, Total number of businesses  (2015),Total employed by Industry (no.) Census (2011),Estimates of Personal Income - Median employee income ($) 2013,Persons with Post School Qualifications - With Bachelor Degree (%) Census (2011),Access to Internet at Home - Proportion of all occupied private dwellings (%) Census (2011),Aboriginal and Torres Strait Islander Peoples - Proportion of total population (%) Census 2011,Method of Travel to Work - Used one method - Train or tram (no.) 2011,Method of Travel to Work - Used one method - Bus (no.) 2011,Method of Travel to Work - Used one method - Car (as driver or passenger) (no.) 2011,Method of Travel to Work - Used one method - Walked only (no.) 2011
Maribyrnong,21303,635,94,86360,2674.5,6258,37602,49061,14.9,72.1,0.4,3353,421,24673,679
Melton - Bacchus Marsh,21304,784,504,83515,224.3,7658,34673,49344,19.5,70.6,0.5,4087,908,19464,942
Wyndham,21305,1584,1040,150743,397.4,12008,58021,46005,10.1,77.6,0.8,2444,293,43070,601
Frankston,21401,322,100,216248,1049.2,9490,79097,43290,12.7,78.7,0.7,4463,471,56552,878
Mornington Peninsula,21402,984,540,135971,214.1,13769,60579,39680,9,75,0.8,1568,649,44998,813
Capalaba,30101,170,92,36380,832.8,5804,16052,49752,6.5,59.9,2.9,439,401,45890,1888
Cleveland - Stradbroke,30102,325,236,74263,128.5,6549,36293,53468,10.7,81.6,1.6,1025,936,25767,518
Wynnum - Manly,30103,276,84,84049,869.5,5736,35685,53217,10,78.5,2.1,665,684,24824,728
Bald Hills - Everton Park,30201,165,66,71484,1162.5,3028,32734,53665,13.4,78.3,2.2,2178,692,21754,602
Chermside,30202,414,80,41403,2248.1,5551,19869,52726,16.7,82.6,1.1,1027,933,12975,236
Nundah,30203,543,67,72394,445.7,3894,33492,50754,17.5,75.4,1.8,987,3052,20532,1037
Sandgate,30204,119,71,38689,1848.4,2762,18637,55029,15.3,76.6,2.1,2654,348,10801,528
Carindale,30301,249,108,59103,1938.2,3887,25910,51561,12.4,75.1,2.4,2024,861,16245,453
Holland Park - Yeronga,30302,792,113,51375,2673.5,7111,25080,47999,19.7,80.6,1.2,477,2675,15940,447
Mt Gravatt,30303,431,161,73426,909.7,6709,36316,49952,24.6,78.2,1.2,1624,4841,19592,1535
Nathan,30304,142,67,72149,1637.5,3946,32016,48039,18.7,79.8,1.3,121,4299,19914,683
Rocklea - Acacia Ridge,30305,199,65,40062,711.1,5730,17601,42006,19.2,76.8,1.2,663,1839,10498,437
Sunnybank,30306,106,51,60595,2300.9,4156,26644,55973,15.2,82.1,1.5,324,2159,18485,305
Centenary,30401,67,11,51049,2014,2882,21437,58400,18,82.2,1,913,2116,13570,348
Kenmore - Brookfield - Moggill,30402,118,73,34129,359.5,4445,17179,51446,21.6,88.8,0.6,603,715,11298,257
Sherwood - Indooroopilly,30403,333,105,47680,2465.1,4158,22165,56251,25.9,90.2,0.4,259,1462,13972,319
The Gap - Enoggera,30404,163,73,52457,535.5,2990,23629,46299,27.6,84.9,0.4,2785,1728,11269,1293
Brisbane Inner,30501,2693,46,51847,5055.8,20318,24748,58003,19.7,83.3,1.6,2197,1233,14144,1038
Brisbane Inner - East,30502,313,104,67155,2784.2,4904,32866,55658,26.3,76.3,0.9,829,4206,12067,7638
Brisbane Inner - North,30503,1136,185,43185,2753.4,10128,21946,55883,24.9,81.6,1.1,949,1579,12290,641
Brisbane Inner - West,30504,254,130,85203,2780.6,7603,43435,49250,26,81.2,1.1,3461,4256,22869,2500
Cairns - North,30601,156,135,60116,328.9,3763,31235,43863,30.4,84.7,0.6,1462,3666,15850,2183
Cairns - South,30602,258,91,52791,164.3,9021,24701,43082,13.1,81.9,3.7,5,430,18018,612
Broadbeach - Burleigh,30901,664,70,104049,1880.1,8441,43013,42770,9.6,68.7,12.1,26,797,30430,1798
Coolangatta,30902,177,32,63157,1526.3,4781,27835,42560,12.6,72.3,0.9,212,760,19395,1022
Gold Coast - North,30903,228,34,53262,1631.5,5777,22889,44910,10,71,2,98,441,16588,627
Gold Coast Hinterland,30904,45,37,66196,22.7,1866,26277,44495,9.6,73,1.2,199,536,19223,583
Mudgeeraba - Tallebudgera,30905,144,80,18755,179.9,3037,7932,43729,12.2,81.2,1.2,26,19,5456,252
Nerang,30906,142,71,34053,560.1,6152,14991,42442,11.3,84.1,1.1,267,282,22752,210
Robina,30908,324,9,68974,1504.4,4776,29916,40330,9,80,1.4,807,286,34313,404
Southport,30909,274,21,50584,1712.4,8288,20927,38047,12,80.9,0.9,276,310,15369,508
Surfers Paradise,30910,737,42,59842,2020.9,7017,24636,43574,12.2,74.7,1.3,143,663,17217,489
Beaudesert,31101,39,22,39264,8.4,1284,16905,44183,13.6,71.8,0.7,112,650,10771,1222
Beenleigh,31102,52,27,13735,716.1,2102,5155,45749,5.5,67.8,4.9,3,22,3500,1412
Browns Plains,31103,190,81,43172,478.6,4046,15995,50628,5.8,72.5,3,488,210,11828,239
Jimboomba,31104,313,275,81067,71.6,3078,33344,46893,5.9,78.8,2.9,229,974,24867,248
Loganlea - Carbrook,31105,135,71,41705,684.4,4536,18451,45543,6.6,82.7,2.2,51,145,13685,404
